,date,isEnabled,name,symbol,type
1958,2017-11-03,True,Dreyfus High Yield Strategies Fund,DHF,cs
1959,2017-11-03,True,Deutsche High Income Opportunities Fund Inc,DHG,cs
1960,2017-11-03,True,D.R. Horton Inc.,DHI,cs
1961,2017-11-03,True,Diamond Hill Investment Group Inc.,DHIL,cs
1962,2017-11-03,True,Danaher Corporation,DHR,cs
1963,2017-11-03,True,WisdomTree U.S. High Dividend Fund,DHS,et
1964,2017-11-03,True,DHT Holdings Inc.,DHT,cs
1965,2017-11-03,True,Diamond Hill Valuation-Weighted 500,DHVW,N/A
1966,2017-11-03,True,DHI Group Inc.,DHX,cs
1967,2017-11-03,True,DHX Media Ltd.,DHXM,cs
1968,2017-11-03,True,Credit Suisse High Yield Bond Fund,DHY,cs
1969,2017-11-03,True,SPDR Dow Jones Industrial Average,DIA,et
1970,2017-11-03,False,Columbia Diversified Fixed Income Allocation,DIAL,N/A
1971,2017-11-03,True,Nuveen Dow 30SM Dynamic Overwrite Fund of Beneficial Interest,DIAX,cs
1972,2017-11-03,True,ProShares Ultra Oil & Gas,DIG,et
1973,2017-11-03,True,WisdomTree International MidCap Dividend Fund,DIM,et
1974,2017-11-03,True,DineEquity Inc,DIN,cs
1975,2017-11-03,True,Diodes Incorporated,DIOD,cs
1976,2017-11-03,True,iPath Pure Beta Agriculture ETN,DIRT,et
1977,2017-11-03,True,Walt Disney Company (The),DIS,cs
1978,2017-11-03,True,Discovery Communications Inc. Series A Common Stock,DISCA,cs
1979,2017-11-03,True,Discovery Communications Inc. Series B Common Stock,DISCB,cs
1980,2017-11-03,True,Discovery Communications Inc.,DISCK,cs
1981,2017-11-03,True,DISH Network Corporation,DISH,cs
1982,2017-11-03,True,AMCON Distributing Company,DIT,cs
1983,2017-11-03,True,Global X Super Dividend,DIV,N/A
1984,2017-11-03,True,AGFiQ Hedged Dividend Income Fund,DIVA,N/A
1985,2017-11-03,True,Citigroup Inc. C-Tracks ETN Miller/Howard Strategic Dividend Reinvestors Due 9/16/2014,DIVC,N/A
1986,2017-11-03,True,Amplify YieldShares CWP Dividend & Option Income,DIVO,N/A
1987,2017-11-03,True,Realty Shares DIVS,DIVY,N/A
1988,2017-11-03,True,E-TRACS Linked to the Bloomberg Commodity Index Total Return due October 31 2039,DJCI,et
1989,2017-11-03,True,Daily Journal Corp. (S.C.),DJCO,cs
1990,2017-11-03,True,Guggenheim Dow Jones Industrial Average Dividend,DJD,N/A
1991,2017-11-03,True,iPath Bloomberg Commodity Index Total Return ETN,DJP,et
1992,2017-11-03,True,Delek US Holdings Inc.,DK,cs
1993,2017-11-03,True,Delek Logistics Partners L.P. representing Limited Partner Interests,DKL,cs
1994,2017-11-03,True,Dick's Sporting Goods Inc,DKS,cs
1995,2017-11-03,True,Deutsch Bk Contingent Cap Tr V Tr Pfd Secs,DKT,ps
1996,2017-11-03,True,China Distance Education Holdings Limited American Depositary Shares,DL,cs
1997,2017-11-03,True,Delta Apparel Inc.,DLA,cs
1998,2017-11-03,True,Dolby Laboratories,DLB,cs
1999,2017-11-03,True,iPath US Treasury Long Bond Bull ETN,DLBL,et
2000,2017-11-03,True,Citigroup Global Markets Holdings Inc VelocityShares Short LIBOR ETN,DLBR,N/A
2001,2017-11-03,True,iPath US Treasury Long Bond Bear ETN,DLBS,et
2002,2017-11-03,True,DLH Holdings Corp.,DLHC,cs
2003,2017-11-03,True,WisdomTree U.S. LargeCap Dividend Fund,DLN,et
2004,2017-11-03,True,Dynagas LNG Partners LP,DLNG,cs
2005,2017-11-03,True,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,DLNG-A,ps
2006,2017-11-03,True,Delphi Automotive plc,DLPH,cs
2007,2017-11-03,True,Digital Realty Trust Inc.,DLR,cs
2008,2017-11-03,True,Digital Realty Trust Inc. 6.625% Series C Cumulative Redeemable Perpetual Preferred Stock,DLR-C,ps
2009,2017-11-03,True,Digital Realty Trust Inc. Preferred Series G,DLR-G,ps
2010,2017-11-03,True,Digital Realty Trust Inc. Redeemable Preferred Stock Series H,DLR-H,ps
2011,2017-11-03,True,Digital Realty Trust Inc. 6.350% Series I Cumulative Redeemable Preferred Stock par value $0.01 per share,DLR-I,ps
2012,2017-11-03,True,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,DLR-J,ps
2013,2017-11-03,True,WisdomTree International SmallCap Fund,DLS,et
2014,2017-11-03,True,Duluth Holdings Inc.,DLTH,cs
2015,2017-11-03,True,Dollar Tree Inc.,DLTR,cs
2016,2017-11-03,True,Deluxe Corporation,DLX,cs
2017,2017-11-03,True,Dominion Energy Midstream Partners LP representing Limited Partner Interests,DM,cs
2018,2017-11-03,True,Dreyfus Municipal Bond Infrastructure Fund Inc.,DMB,cs
2019,2017-11-03,True,Dreyfus Municipal Income Inc.,DMF,cs
2020,2017-11-03,True,Dorchester Minerals L.P.,DMLP,cs
